Team,Player,Model24,Actual23,Actual22,Actual21,Actual20,regression,uncertainty,|prediction-actual23|
SFG,Keaton Winn,115,42.1,0,0,0,49.8,47.50651417,7.7
STL,Kyle Gibson,115,192,167.2,182,181.2,167.99,32.09167424,24.01
STL,Miles Mikolas,190,201.1,202.1,44.2,0,180.575,5.483510635,20.525
STL,Lance Lynn,140,183.2,121.2,157,226.8,163.97,25.95654488,19.23
STL,Sonny Gray,165,184,119.2,135.1,151.2,165.445,27.19820255,18.555
STL,Steven Matz,90,105,48,150.2,81.5,93.785,24.12467616,11.215
TBR,Taj Bradley,90,104.2,0,0,0,74.6,46.13901699,29.6
TBR,Shane Baz,65,0,27,13.1,0,20.955,26.66249967,20.955
TBR,Zach Eflin,190,177.2,75.2,105.2,159.3,160.605,51.36674238,16.595
TBR,Ryan Pepiot,115,42,36.1,0,0,55.165,35.88410357,13.165
TBR,Aaron Civale,165,122.1,97,124.1,199.8,133.045,28.07612667,10.945
TBR,Zack Littell,140,90,44.1,61.2,16.5,90.5,39.16293599,0.5
TEX,Andrew Heaney,115,147.1,72.2,129.2,178.7,128.525,30.68162679,18.575
TEX,Dane Dunning,140,172.2,153.1,117.2,91.8,154.515,13.22144722,17.685
TEX,Owen White,65,4,0,0,0,18.25,29.74334659,14.25
TEX,Max Scherzer,90,152.2,145.1,179.1,181.2,138.38,27.79940047,13.82
TEX,Nathan Eovaldi,190,144,109.1,182.1,129.9,151.465,33.13075107,7.465
TEX,Jon Gray,165,157.1,127.1,149,105.3,151.58,16.32591668,5.52
TOR,Yusei Kikuchi,115,167.2,100.2,157,126.9,141.575,28.73805066,25.625
TOR,Jose Berrios,140,189.2,172,192,170.1,173.505,20.3864879,15.695
TOR,Chris Bassitt,165,200,181.2,157.1,170.1,184.79,14.30182584,15.21
TOR,Alek Manoah,90,87.1,196.2,111.2,0,101.04,50.76050521,13.94
TOR,Kevin Gausman,190,185,174.2,192,159.8,183.72,6.59359959,1.28
WSN,Jake Irvin,115,121,0,0,0,89.25,55.67963921,31.75
WSN,MacKenzie Gore,140,136.1,70,0,0,113.55,32.11856507,22.55
WSN,Trevor Willians,90,0,0,0,0,22.5,42.42640687,22.5
WSN,Josiah Gray,165,159,148.2,70.2,0,146.49,6.951258879,12.51
WSN,Jackson Rutledge,65,20,0,0,0,26.25,27.18251072,6.25
WSN,Patrick Corbin,190,180,152.2,171.2,176,177.69,15.99194242,2.31
