,Unnamed: 0,#,Name,Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,Year
443,445,444,Ronel Blanco,HOU,2,1,4.5,17,7,0,0,0,0,0,52.0,226,49,29,26,12,28,0,2,2,0,52,2023
446,448,447,Hunter Gaddis,CLE,2,1,4.5,11,7,0,0,0,0,0,42.0,182,41,21,21,6,14,0,4,1,0,24,2023
448,450,449,Joe Ryan,MIN,11,10,4.51,29,29,1,1,0,0,0,161.2,672,155,83,81,32,34,0,6,3,0,197,2023
449,451,450,Ryan Yarbrough,- - -,8,7,4.52,25,9,0,0,2,1,1,89.2,377,96,45,45,13,14,0,8,1,0,67,2023
451,453,452,JP Sears,OAK,5,14,4.54,32,32,0,0,0,0,0,172.1,735,165,90,87,34,53,2,16,2,0,161,2023
452,454,453,Colin Rea,MIL,6,6,4.55,26,22,0,0,0,0,0,124.2,517,110,65,63,23,38,0,4,2,1,110,2023
453,455,454,Yu Darvish,SDP,8,10,4.56,24,24,0,0,0,0,0,136.1,574,134,71,69,18,43,0,8,1,1,141,2023
454,456,455,Domingo German,NYY,5,7,4.56,20,19,1,1,0,0,0,108.2,444,83,61,55,20,34,0,6,2,0,114,2023
455,457,456,Cristian Javier,HOU,10,5,4.56,31,31,0,0,0,0,0,162.0,687,143,85,82,25,62,0,7,4,0,159,2023
457,459,458,Brad Keller,KCR,3,4,4.57,11,9,0,0,0,0,0,45.1,211,42,26,23,3,45,0,3,7,0,31,2023
460,462,461,Dylan Cease,CHW,7,9,4.58,33,33,0,0,0,0,0,177.0,784,172,98,90,19,79,3,9,14,0,214,2023
461,463,462,Julio Urias,LAD,11,8,4.6,21,21,0,0,0,0,0,117.1,482,112,61,60,24,24,0,6,2,1,117,2023
462,464,463,Jake Irvin,WSN,3,7,4.61,24,24,0,0,0,0,0,121.0,530,118,66,62,20,54,0,8,2,1,99,2023
468,470,469,Louie Varland,MIN,4,3,4.63,17,10,0,0,0,2,0,68.0,283,66,35,35,16,17,0,1,2,0,71,2023
469,471,470,Hayden Wesneski,CHC,3,5,4.63,34,11,0,0,0,2,1,89.1,379,82,50,46,20,32,1,3,2,0,83,2023
471,473,472,Clarke Schmidt,NYY,9,9,4.64,33,32,0,0,0,0,0,159.0,694,169,91,82,24,46,0,11,11,2,149,2023
472,474,473,Daniel Lynch,KCR,3,4,4.64,9,9,0,0,0,0,0,52.1,223,50,29,27,9,16,0,1,1,1,34,2023
473,475,474,Scott Alexander,SFG,7,3,4.66,55,8,0,0,1,6,2,48.1,208,55,30,25,2,11,3,1,7,0,31,2023
482,484,483,Tylor Megill,NYM,9,8,4.7,25,25,0,0,0,0,0,126.1,567,141,76,66,18,58,0,6,8,0,105,2023
488,490,489,Kyle Gibson,BAL,15,9,4.73,33,33,0,0,0,0,0,192.0,807,198,101,101,23,55,0,6,8,0,157,2023
492,494,493,Graham Ashcraft,CIN,7,9,4.76,26,26,0,0,0,0,0,145.2,624,148,78,77,23,52,0,10,3,1,111,2023
495,497,496,Luis Ortiz,PIT,5,5,4.78,18,15,0,0,0,0,0,86.2,400,99,50,46,13,48,0,2,3,0,59,2023
496,498,497,Miles Mikolas,STL,9,13,4.78,35,35,0,0,0,0,0,201.1,860,226,110,107,26,39,0,8,4,0,137,2023
499,501,500,Hunter Greene,CIN,4,7,4.82,22,22,0,0,0,0,0,112.0,498,111,65,60,19,48,0,8,5,0,152,2023
502,504,503,Jameson Taillon,CHC,8,10,4.84,30,29,0,0,1,0,0,154.1,655,156,96,83,27,41,0,5,2,0,140,2023
506,508,507,Anthony DeSclafani,SFG,4,8,4.88,19,18,0,0,0,0,0,99.2,419,105,59,54,15,20,0,4,3,0,79,2023
507,509,508,Lucas Giolito,- - -,8,15,4.88,33,33,0,0,0,0,0,184.1,794,169,110,100,41,73,2,9,5,0,204,2023
516,518,517,Emmet Sheehan,LAD,4,1,4.92,13,11,0,0,1,0,0,60.1,248,46,33,33,11,26,0,1,1,0,64,2023
522,524,523,Touki Toussaint,- - -,4,7,4.97,20,16,0,0,0,0,0,87.0,384,69,48,48,10,57,0,7,3,1,85,2023
526,528,527,Nestor Cortes,NYY,5,2,4.97,12,12,0,0,0,0,0,63.1,266,59,36,35,11,20,0,3,0,0,67,2023
527,529,528,Dakota Hudson,STL,6,3,4.98,18,12,0,0,0,1,0,81.1,354,88,46,45,9,34,0,6,5,0,45,2023
528,530,529,Tony Gonsolin,LAD,8,5,4.98,20,20,0,0,0,0,0,103.0,435,86,61,57,19,40,1,7,2,0,82,2023
529,531,530,Jack Flaherty,- - -,8,9,4.99,29,27,0,0,0,1,0,144.1,650,162,83,80,17,66,2,12,8,0,148,2023
530,532,531,Andre Jackson,- - -,1,3,4.99,19,7,0,0,2,1,0,61.1,257,52,34,34,11,22,0,2,1,0,57,2023
531,533,532,Drew Smyly,CHC,11,11,5.0,41,23,0,0,0,1,2,142.1,626,147,89,79,26,56,0,6,9,1,141,2023
532,534,533,Tanner Houck,BOS,6,10,5.01,21,21,0,0,0,0,0,106.0,463,104,61,59,14,41,0,6,1,0,99,2023
533,535,534,David Peterson,NYM,3,8,5.03,27,21,1,0,0,1,0,111.0,492,124,64,62,16,50,0,6,6,0,128,2023
535,537,536,Kyle Freeland,COL,6,14,5.03,29,29,0,0,0,0,0,155.2,677,187,96,87,29,42,0,1,2,0,94,2023
538,540,539,Zack Greinke,KCR,2,15,5.06,30,27,0,0,0,0,0,142.1,593,158,82,80,25,23,0,4,2,1,97,2023
543,545,544,Hunter Brown,HOU,11,13,5.09,31,29,0,0,0,0,0,155.2,665,157,94,88,26,55,0,9,4,0,178,2023
550,552,551,Garrett Whitlock,BOS,5,5,5.15,22,10,0,0,1,3,1,71.2,304,82,43,41,13,13,0,3,2,0,72,2023
554,556,555,Peyton Battenfield,CLE,0,5,5.19,7,6,0,0,0,0,0,34.2,146,34,22,20,7,12,0,0,1,0,27,2023
556,558,557,Patrick Corbin,WSN,10,15,5.2,32,32,0,0,0,0,0,180.0,790,210,113,104,33,57,0,4,6,0,124,2023
558,560,559,Marco Gonzales,SEA,4,1,5.22,10,10,0,0,0,0,0,50.0,215,55,32,29,5,18,0,0,0,0,34,2023
560,562,561,Cal Quantrill,CLE,4,7,5.24,19,19,0,0,0,0,0,99.2,444,111,59,58,11,35,0,7,6,0,58,2023
562,564,563,Matthew Liberatore,STL,3,6,5.25,22,11,0,0,0,2,0,61.2,275,66,42,36,5,25,1,5,4,0,46,2023
567,569,568,Jose Urquidy,HOU,3,3,5.29,16,10,0,0,1,0,0,63.0,275,65,37,37,11,25,0,2,0,1,45,2023
568,570,569,Allan Winans,ATL,1,2,5.29,6,6,0,0,0,0,0,32.1,141,37,19,19,5,8,1,2,0,0,34,2023
569,571,570,Jesse Scholtens,CHW,1,9,5.29,26,11,0,0,1,1,0,85.0,377,100,54,50,15,30,1,2,1,0,58,2023
570,572,571,Cody Bradford,TEX,4,3,5.3,20,8,0,0,0,0,0,56.0,234,56,33,33,11,12,0,1,0,0,51,2023
572,574,573,Ryne Nelson,ARI,8,8,5.31,29,27,0,0,0,0,0,144.0,619,159,87,85,24,46,0,1,6,1,96,2023
574,576,575,Bailey Falter,- - -,2,9,5.36,18,14,0,0,0,0,0,80.2,347,94,55,48,17,20,0,0,0,0,60,2023
575,577,576,Peter Lambert,COL,3,7,5.36,25,11,0,0,0,0,0,87.1,375,93,54,52,18,28,0,5,1,0,71,2023
576,578,577,Ross Stripling,SFG,0,5,5.36,22,11,0,0,0,0,0,89.0,381,104,54,53,20,16,0,2,2,1,70,2023
577,579,578,Ken Waldichuk,OAK,4,9,5.36,35,22,0,0,1,0,0,141.0,639,149,93,84,24,71,1,9,7,1,132,2023
578,580,579,Ben Lively,CIN,4,7,5.38,19,12,0,0,0,0,0,88.2,383,96,53,53,20,25,0,3,1,0,79,2023
589,591,590,Yonny Chirinos,- - -,5,5,5.4,20,9,0,0,0,1,0,85.0,367,91,53,51,15,27,0,5,3,0,53,2023
590,592,591,Rich Hill,- - -,8,14,5.41,32,27,0,0,0,0,1,146.1,660,165,98,88,23,58,0,7,2,1,129,2023
591,593,592,Luis Medina,OAK,3,10,5.42,23,17,0,0,0,0,0,109.2,495,109,73,66,14,57,2,8,11,2,106,2023
592,594,593,Chase Anderson,- - -,1,6,5.42,19,17,0,0,1,0,0,86.1,372,90,53,52,17,33,0,7,1,0,64,2023
593,595,594,Tyler Anderson,LAA,6,6,5.43,27,25,0,0,0,0,0,141.0,629,146,90,85,20,64,1,7,6,2,119,2023
594,596,595,Michael Kopech,CHW,5,12,5.43,30,27,0,0,0,0,0,129.1,591,115,80,78,29,91,0,11,9,0,134,2023
