#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,Year
1.0,Stone Garrett,WSN,2.0,5.0,6.0,3.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2024
2.0,Darren Baker,WSN,9.0,14.0,14.0,7.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2024
3.0,Samad Taylor,SEA,3.0,5.0,5.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2024
4.0,Austin Wynns,CIN,7.0,19.0,20.0,7.0,3.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.368,2024
5.0,Alex Call,WSN,30.0,99.0,113.0,34.0,22.0,9.0,0.0,3.0,15.0,14.0,12.0,0.0,19.0,2.0,0.0,0.0,2.0,5.0,1.0,0.343,2024
6.0,Jose Iglesias,NYM,85.0,270.0,291.0,91.0,70.0,16.0,1.0,4.0,39.0,26.0,12.0,1.0,39.0,8.0,1.0,0.0,4.0,6.0,2.0,0.337,2024
7.0,Diego Castillo,MIN,4.0,6.0,8.0,2.0,1.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,2024
8.0,Matthew Batten,SDP,1.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,2024
9.0,Hunter Feduccia,LAD,5.0,12.0,14.0,4.0,4.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333,2024
10.0,Dustin Harris,TEX,2.0,6.0,7.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,2024
11.0,Orelvis Martinez,TOR,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,2024
12.0,Bobby Witt Jr.,KCR,161.0,636.0,709.0,211.0,123.0,45.0,11.0,32.0,125.0,109.0,57.0,9.0,106.0,8.0,8.0,0.0,4.0,31.0,12.0,0.332,2024
