#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,Year
1.0,Charlie Culberson,ATL,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2023
2.0,Michael Perez,NYM,3.0,8.0,8.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2023
3.0,Cole Tucker,COL,5.0,8.0,10.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,2023
4.0,Zack Collins,CLE,2.0,4.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2023
5.0,Alejo Lopez,CIN,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2023
6.0,Forrest Wall,ATL,15.0,13.0,15.0,6.0,3.0,2.0,0.0,1.0,6.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,1.0,0.462,2023
7.0,Abraham Toro,MIL,9.0,18.0,21.0,8.0,6.0,0.0,0.0,2.0,4.0,9.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.444,2023
8.0,Tristan Gray,TBR,2.0,5.0,5.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2023
9.0,Jeter Downs,WSN,6.0,5.0,9.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,2023
10.0,Ernie Clement,TOR,30.0,50.0,52.0,19.0,16.0,1.0,1.0,1.0,7.0,10.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.38,2023
11.0,Luis Arraez,MIA,147.0,574.0,617.0,203.0,160.0,30.0,3.0,10.0,71.0,69.0,35.0,10.0,34.0,4.0,3.0,1.0,18.0,3.0,2.0,0.354,2023
12.0,Ronald Acuna Jr.,ATL,159.0,643.0,735.0,217.0,137.0,35.0,4.0,41.0,149.0,106.0,80.0,3.0,84.0,9.0,3.0,0.0,15.0,73.0,14.0,0.337,2023
13.0,Drew Maggi,PIT,3.0,6.0,6.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,2023
14.0,Freddie Freeman,LAD,161.0,637.0,730.0,211.0,121.0,59.0,2.0,29.0,131.0,102.0,72.0,12.0,121.0,16.0,5.0,0.0,14.0,23.0,1.0,0.331,2023
15.0,Yandy Diaz,TBR,137.0,525.0,600.0,173.0,116.0,35.0,0.0,22.0,95.0,78.0,65.0,0.0,94.0,8.0,2.0,0.0,16.0,0.0,1.0,0.33,2023
16.0,Corey Seager,TEX,119.0,477.0,536.0,156.0,81.0,42.0,0.0,33.0,88.0,96.0,49.0,9.0,88.0,4.0,6.0,0.0,9.0,2.0,1.0,0.327,2023
17.0,Nick Loftin,KCR,19.0,62.0,68.0,20.0,14.0,5.0,1.0,0.0,10.0,10.0,4.0,0.0,12.0,1.0,1.0,0.0,0.0,2.0,0.0,0.323,2023
18.0,Luis Campusano,SDP,49.0,163.0,174.0,52.0,38.0,7.0,0.0,7.0,27.0,30.0,7.0,0.0,21.0,3.0,1.0,0.0,8.0,0.0,0.0,0.319,2023
19.0,Sean Bouchard,COL,21.0,38.0,43.0,12.0,6.0,2.0,0.0,4.0,11.0,7.0,4.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0,0.316,2023
20.0,Wilyer Abreu,BOS,28.0,76.0,85.0,24.0,16.0,6.0,0.0,2.0,10.0,14.0,9.0,0.0,23.0,0.0,0.0,0.0,0.0,3.0,1.0,0.316,2023
21.0,Noelvi Marte,CIN,35.0,114.0,123.0,36.0,26.0,7.0,0.0,3.0,15.0,15.0,8.0,0.0,25.0,1.0,0.0,0.0,1.0,6.0,2.0,0.316,2023
22.0,Harold Ramirez,TBR,122.0,400.0,434.0,125.0,92.0,19.0,2.0,12.0,58.0,68.0,22.0,0.0,79.0,6.0,6.0,0.0,7.0,5.0,3.0,0.313,2023
23.0,Weston Wilson,PHI,8.0,16.0,22.0,5.0,4.0,0.0,0.0,1.0,5.0,2.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,0.313,2023
24.0,Jose Altuve,HOU,90.0,360.0,410.0,112.0,72.0,21.0,2.0,17.0,76.0,51.0,44.0,0.0,71.0,5.0,1.0,0.0,9.0,14.0,2.0,0.311,2023
25.0,Royce Lewis,MIN,58.0,217.0,239.0,67.0,45.0,7.0,0.0,15.0,36.0,52.0,20.0,0.0,55.0,2.0,0.0,0.0,5.0,6.0,1.0,0.309,2023
26.0,Josh Naylor,CLE,121.0,452.0,495.0,139.0,91.0,31.0,0.0,17.0,52.0,97.0,33.0,9.0,68.0,3.0,7.0,0.0,11.0,10.0,3.0,0.308,2023
27.0,Cody Bellinger,CHC,130.0,499.0,556.0,153.0,97.0,29.0,1.0,26.0,95.0,97.0,40.0,3.0,87.0,5.0,12.0,0.0,7.0,20.0,6.0,0.307,2023
28.0,Mookie Betts,LAD,152.0,584.0,693.0,179.0,99.0,40.0,1.0,39.0,126.0,107.0,96.0,3.0,107.0,8.0,5.0,0.0,5.0,14.0,3.0,0.307,2023
29.0,Bo Bichette,TOR,135.0,571.0,601.0,175.0,122.0,30.0,3.0,20.0,69.0,73.0,27.0,0.0,115.0,2.0,1.0,0.0,14.0,5.0,3.0,0.306,2023
30.0,Evan Carter,TEX,23.0,62.0,75.0,19.0,9.0,4.0,1.0,5.0,15.0,12.0,12.0,1.0,24.0,0.0,1.0,0.0,1.0,3.0,0.0,0.306,2023
31.0,Shohei Ohtani,LAA,135.0,497.0,599.0,151.0,73.0,26.0,8.0,44.0,102.0,95.0,91.0,21.0,143.0,3.0,3.0,0.0,9.0,20.0,6.0,0.304,2023
32.0,Johan Rojas,PHI,59.0,149.0,164.0,45.0,32.0,9.0,2.0,2.0,24.0,23.0,5.0,0.0,42.0,4.0,0.0,6.0,1.0,14.0,1.0,0.302,2023
33.0,Dominic Fletcher,ARI,28.0,93.0,102.0,28.0,20.0,5.0,1.0,2.0,10.0,14.0,7.0,1.0,22.0,0.0,0.0,2.0,0.0,0.0,2.0,0.301,2023
34.0,Gio Urshela,LAA,62.0,214.0,228.0,64.0,53.0,8.0,1.0,2.0,22.0,24.0,10.0,0.0,36.0,1.0,3.0,0.0,9.0,3.0,2.0,0.299,2023
35.0,Victor Robles,WSN,36.0,107.0,126.0,32.0,26.0,5.0,1.0,0.0,15.0,8.0,11.0,0.0,18.0,4.0,0.0,4.0,3.0,8.0,1.0,0.299,2023
36.0,Jared Triolo,PIT,54.0,181.0,209.0,54.0,42.0,9.0,0.0,3.0,30.0,21.0,24.0,0.0,63.0,3.0,1.0,0.0,0.0,6.0,1.0,0.298,2023
37.0,Ivan Herrera,STL,13.0,37.0,44.0,11.0,9.0,2.0,0.0,0.0,6.0,4.0,5.0,0.0,11.0,2.0,0.0,0.0,1.0,0.0,0.0,0.297,2023
38.0,Nolan Jones,COL,106.0,367.0,424.0,109.0,63.0,22.0,4.0,20.0,60.0,62.0,53.0,3.0,126.0,3.0,1.0,0.0,1.0,20.0,4.0,0.297,2023
39.0,Jarren Duran,BOS,102.0,332.0,362.0,98.0,54.0,34.0,2.0,8.0,46.0,40.0,24.0,1.0,90.0,3.0,2.0,0.0,3.0,24.0,2.0,0.295,2023
40.0,Xavier Edwards,MIA,30.0,78.0,84.0,23.0,20.0,3.0,0.0,0.0,12.0,3.0,3.0,0.0,14.0,1.0,0.0,2.0,1.0,5.0,0.0,0.295,2023
41.0,Alexander Canario,CHC,6.0,17.0,17.0,5.0,2.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294,2023
42.0,Jon Berti,MIA,133.0,388.0,424.0,114.0,88.0,16.0,3.0,7.0,53.0,33.0,29.0,2.0,77.0,2.0,3.0,2.0,10.0,16.0,6.0,0.294,2023
43.0,Bryce Harper,PHI,126.0,457.0,546.0,134.0,83.0,29.0,1.0,21.0,84.0,72.0,80.0,8.0,119.0,5.0,4.0,0.0,10.0,11.0,3.0,0.293,2023
44.0,Michael Harris II,ATL,138.0,505.0,539.0,148.0,94.0,33.0,3.0,18.0,76.0,57.0,25.0,1.0,101.0,5.0,3.0,1.0,8.0,20.0,4.0,0.293,2023
45.0,Yordan Alvarez,HOU,114.0,410.0,496.0,120.0,64.0,24.0,1.0,31.0,77.0,97.0,69.0,5.0,92.0,13.0,4.0,0.0,7.0,0.0,0.0,0.293,2023
46.0,Josh Lowe,TBR,135.0,466.0,501.0,136.0,81.0,33.0,2.0,20.0,71.0,83.0,31.0,2.0,124.0,1.0,3.0,0.0,6.0,32.0,3.0,0.292,2023
47.0,Matt McLain,CIN,89.0,365.0,403.0,106.0,63.0,23.0,4.0,16.0,65.0,50.0,31.0,0.0,115.0,7.0,0.0,0.0,5.0,14.0,5.0,0.29,2023
48.0,Oscar Mercado,STL,20.0,31.0,32.0,9.0,6.0,3.0,0.0,0.0,3.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.29,2023
49.0,Michael Stefanic,LAA,25.0,62.0,71.0,18.0,15.0,2.0,1.0,0.0,5.0,6.0,8.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.29,2023
50.0,Tom Murphy,SEA,47.0,145.0,159.0,42.0,22.0,12.0,0.0,8.0,19.0,17.0,10.0,0.0,44.0,1.0,2.0,0.0,4.0,0.0,0.0,0.29,2023
51.0,Ryan O'Hearn,BAL,112.0,346.0,368.0,100.0,63.0,22.0,1.0,14.0,48.0,60.0,15.0,2.0,82.0,3.0,3.0,1.0,2.0,5.0,1.0,0.289,2023
52.0,William Contreras,MIL,141.0,540.0,611.0,156.0,100.0,38.0,1.0,17.0,86.0,78.0,63.0,2.0,126.0,5.0,2.0,1.0,23.0,6.0,1.0,0.289,2023
53.0,Masataka Yoshida,BOS,140.0,537.0,580.0,155.0,104.0,33.0,3.0,15.0,71.0,72.0,34.0,0.0,81.0,7.0,2.0,0.0,20.0,8.0,0.0,0.289,2023
54.0,Riley Greene,DET,99.0,378.0,416.0,109.0,75.0,19.0,4.0,11.0,51.0,37.0,35.0,0.0,114.0,1.0,2.0,0.0,7.0,7.0,0.0,0.288,2023
55.0,Pablo Reyes,BOS,64.0,167.0,185.0,48.0,37.0,9.0,0.0,2.0,27.0,20.0,14.0,0.0,21.0,0.0,2.0,2.0,3.0,7.0,2.0,0.287,2023
56.0,Drew Millas,WSN,11.0,28.0,33.0,8.0,5.0,2.0,0.0,1.0,1.0,6.0,4.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.286,2023
