UID,PA,Name
12101,497.0,Kennys Vargas
12140,452.0,Juniel Querecuto
12144,608.4,Max Kepler
12147,620.8,Nick Ahmed
12155,563.2,Eddie Rosario
12158,251.8,Austin Barnes
12160,252.8,Ben Gamel
12161,644.0,Xander Bogaerts
12164,597.2,Miguel Sano
12174,431.0,Jorge Bonifacio
12179,459.4,Maikel Franco
12180,351.4,Jorge Alfaro
12225,91.2,Scott Schebler
12268,387.0,Ryan Court
12282,477.4,Rougned Odor
12284,93.2,Kevan Smith
12325,101.8,Jace Peterson
12371,447.4,Tommy La Stella
12384,108.0,Beau Taylor
12434,455.6,Kevin Pillar
12495,325.0,T.J. Rivera
12508,302.0,Jett Bandy
12510,203.6,Curt Casali
12532,555.2,Kolten Wong
12533,644.0,Marcus Semien
12546,474.4,C.J. Cron
12547,133.0,John Hicks
12552,657.6,Eugenio Suarez
12564,658.8,Trevor Story
12649,453.0,Alex Dickerson
12758,110.0,Breyvic Valera
12775,361.8,Brad Miller
12782,367.0,Taylor Davis
12797,246.0,Dalton Pompey
12856,616.0,George Springer
12858,298.6,Brian Goodwin
12859,441.6,James McCann
12861,645.0,Anthony Rendon
12907,490.6,Gregory Polanco
12916,686.6,Francisco Lindor
12926,340.0,Alen Hanson
12927,566.2,Brandon Nimmo
12937,405.0,Jose Osuna
12944,489.0,Socrates Brito
12950,369.8,Phillip Evans
12976,226.0,Austin Hedges
12977,206.2,Michael Perez
12979,651.6,Javier Baez
12981,176.2,Cam Gallagher
12983,421.0,Charlie Tilson
12984,552.2,Jackie Bradley Jr.
13005,367.0,Kelby Tomlinson
13012,471.0,John Andreoli
13066,591.0,Teoscar Hernandez
13110,251.8,Yoenis Cespedes
13130,461.0,Mikie Mahtook
13132,85.6666666667,Andrew Susac
13145,592.8,Josh Bell
13151,92.0,Jose Briceno
13152,565.4,Jorge Polanco
13153,338.0,Luis Sardinas
13154,367.0,Marco Hernandez
13157,288.0,Nicky Delmonico
13167,104.2,Robel Garcia
13176,263.0,Blake Swihart
13185,556.0,Orlando Arcia
13265,355.2,Mike Zunino
13277,379.0,Joey Rickard
13301,591.8,Max Muncy
13324,178.6,Ildemaro Vargas
13329,357.0,Jake Lamb
13338,329.6,Omar Narvaez
13355,100.4,Luke Maile
13356,93.6,Bubba Starling
13359,267.2,Tyler Naquin
13367,532.0,Stephen Piscotty
13369,326.8,Erik Gonzalez
13414,283.0,Andrew Toles
13419,599.6,Christian Walker
13473,92.6,Dwight Smith Jr.
13490,208.0,Oscar Hernandez
13499,285.2,Tom Murphy
13510,648.2,Jose Ramirez
13546,253.2,Roman Quinn
13590,500.2,Jesse Winker
13593,166.4,Jose Peraza
13595,476.0,Humberto Arteaga
13602,436.0,Patrick Wisdom
13608,148.0,Mallex Smith
13611,679.2,Mookie Betts
13613,640.4,Ketel Marte
13620,390.0,Carson Kelly
13621,592.0,Jeimer Candelario
13624,630.2,Corey Seager
13658,214.0,Terrance Gore
13675,196.0,Tyrone Taylor
13723,369.2,Jacob Stallings
13744,428.4,David Dahl
13755,219.4,Tomas Nido
13757,567.6,Chris Taylor
13768,307.0,Travis Jankowski
13769,600.6,Adalberto Mondesi
13770,302.0,Rob Refsnyder
13788,106.0,Matt Reynolds
13795,371.0,Eric Stamets
13807,209.0,Kevin Plawecki
13836,173.8,Matt Duffy
13853,430.2,Joey Wendle
13854,84.2,Anthony Bemboom
13866,371.0,Bruce Maxwell
13897,105.6,Tyler Heineman
13906,339.0,Sherman Johnson
14103,512.8,Rio Ruiz
14109,254.8,Albert Almora Jr.
14111,217.5,Eric Haase
14128,600.0,Joey Gallo
14130,317.4,Daniel Vogelbach
14131,157.333333333,Greg Bird
14137,147.4,Tim Lopes
14140,424.0,Jose Rondon
14145,243.4,Daniel Robertson
14158,345.0,Mac Williamson
14161,529.8,Byron Buxton
14162,611.2,Carlos Correa
14196,87.6,Andrew Velazquez
14221,587.4,Jorge Soler
14225,395.2,Yasiel Puig
14274,536.4,Mitch Haniger
14320,219.5,Wilmer Difo
14329,406.4,Anthony Alford
1433,339.0,Wilson Ramos
14330,129.25,Nick Williams
14344,617.0,Matt Olson
14350,550.6,Raimel Tapia
14352,320.4,Lewis Brinson
14387,158.2,Harold Ramirez
14388,200.8,Ronald Guzman
14412,118.0,Joe Hudson
14453,102.6,Scott Heineman
14477,287.2,Jake Cave
14503,462.6,Renato Nunez
14523,303.8,Pedro Severino
14528,485.0,Gabriel Guerrero
14548,420.0,Jesmuel Valentin
14551,606.0,Anthony Santander
14553,423.2,Nomar Mazara
14555,132.4,Wyatt Mathisen
14556,112.6,Max Moroff
14566,627.6,Franmil Reyes
14567,389.8,Franchy Cordero
14593,407.2,David Bote
14678,322.0,Tzu-Wei Lin
14691,208.8,Harold Castro
14712,456.4,Manuel Margot
14713,547.0,Dawel Lugo
14735,128.4,Brett Phillips
14738,201.6,Phillip Ervin
14773,117.4,Yu-Cheng Chang
14811,587.2,Luke Voit
14813,296.0,Kyle Farmer
14818,520.8,JaCoby Jones
14854,623.6,Mike Yastrzemski
14885,236.2,Pat Valaika
14894,364.4,Tony Kemp
14936,372.0,Jaycob Brugman
14938,432.0,Jack Reinheimer
14942,186.8,Andrew Knapp
14950,258.8,Johan Camargo
14968,282.0,Victor Caratini
14973,100.0,Zach Green
15055,253.4,Dom Nunez
15082,329.8,Adam Engel
15103,389.0,Boog Powell
15104,141.8,Jonathan Davis
15112,548.0,Ryan McMahon
15115,409.0,Dylan Cozens
15117,597.4,Hunter Dozier
15119,460.0,Jordan Patterson
15124,335.8,Tim Locastro
15149,520.4,Trey Mancini
15161,325.2,Mitch Garver
15170,259.0,Josh VanMeter
15172,644.4,Tim Anderson
15181,271.0,Ryan Cordell
15189,445.0,Dustin Peterson
15191,373.6,Chad Pinder
15194,235.2,Jake Bauers
15214,400.0,Brandon Dixon
15223,533.0,Adam Frazier
15271,98.5,Austin Wynns
15274,244.4,Mike Tauchman
15279,302.8,Garrett Cooper
15343,497.0,Zack Granite
15351,503.0,Frank Schwindel
15362,624.2,Jeff McNeil
15402,117.0,Jack Mayfield
15407,117.8,Nate Orf
15429,628.0,Kris Bryant
15464,466.6,Hunter Renfroe
15482,272.2,Aristides Aquino
15487,470.4,Victor Reyes
15490,203.8,Justin Williams
15491,617.8,J.P. Crawford
15496,540.0,Abiatal Avelino
15518,472.2,Amed Rosario
15519,200.4,Franklin Barreto
15535,173.0,Joseph Odom
15564,120.5,Tyler White
15585,158.2,Mike Ford
15608,90.8,Willians Astudillo
15640,565.2,Aaron Judge
15653,554.8,Dominic Smith
15654,234.4,Billy McKinney
15672,525.0,Austin Meadows
15674,188.6,Reese McGuire
15676,645.2,Jose Abreu
15679,448.2,Rowdy Tellez
15694,311.0,Chance Sisco
15711,510.2,Tyler O'Neill
15730,184.8,Tyler Wade
15766,396.0,Raudy Read
15767,331.4,Jose Marmolejos
15769,168.0,Rafael Bautista
15794,194.2,Yonathan Daza
15817,513.0,Erick Mejia
15830,480.0,Johnny Davis
15878,163.4,Miguel Andujar
15905,379.4,Luis Torrens
15937,237.6,Aledmys Diaz
15941,429.4,Austin Nola
15958,123.6,Travis Demeritte
15982,469.0,Ryder Jones
15983,558.6,Clint Frazier
15986,568.8,Willy Adames
15988,110.6,Deivy Grullon
15994,545.0,Kean Wong
15998,652.4,Cody Bellinger
16041,380.0,Steve Wilkerson
16042,128.2,Mark Payton
16115,488.0,Mike Gerber
16153,325.8,Austin Slater
16192,119.6,Derek Fisher
16211,433.0,Kevin Cron
16219,532.4,J.D. Davis
16221,169.2,Bradley Zimmer
16252,662.6,Trea Turner
16263,452.0,Sam Travis
16271,150.8,Alex Blandino
16285,140.666666667,Michael Hermosillo
16291,329.0,Nick Ciuffo
16313,117.2,Yairo Munoz
16357,456.0,Pablo Reyes
16375,468.0,Oscar Mercado
16376,645.0,Michael Conforto
16403,260.6,Francisco Mejia
16404,264.0,Domingo Leyba
16411,273.5,Richard Urena
16417,119.6,Sergio Alcantara
16424,313.4,Jordan Luplow
16426,130.0,Thairo Estrada
16429,100.8,Jason Martin
16434,258.8,Christian Arroyo
16442,189.2,Ryan O'Hearn
16448,191.4,Jacob Nottingham
16451,260.2,Luis Guillorme
16472,613.2,Rhys Hoskins
16478,548.6,Kyle Schwarber
16505,623.6,Matt Chapman
16512,580.6,Isiah Kiner-Falefa
16524,175.6,Ryan McBroom
16530,491.0,Mauricio Dubon
