UID,IP,Name
12076,25.0,Felipe Vazquez
12095,59.4,Yimi Garcia
12106,30.5,Parker Markel
12143,1.0,Jason Garcia
12166,1.0,David Goforth
12178,17.14,Domingo Tapia
12182,1.0,Cody Martin
12183,28.06,Cody Allen
12185,1.0,Akeel Morris
12220,1.0,Keith Hessler
12232,1.0,Cody Hall
12235,1.0,Seth Maness
12237,44.4,Dan Winkler
12240,1.0,Matthew Tracy
12249,44.94,Ryan Sherriff
12272,1.0,Aaron Brooks
12277,1.0,Leonel Campos
12297,57.26,Evan Marshall
12304,153.34,Chris Bassitt
12316,1.0,Justin Hancock
12317,46.0,Colin Rea
12323,33.8,Jacob Barnes
12360,27.35,Kevin Quackenbush
12361,15.6666666667,Spencer Patton
12385,29.0,Nick Tropeano
12447,78.26,Seth Lugo
1245,1.0,R.A. Dickey
12452,20.5,Chasen Bradford
1246,25.0,Matt Bush
1247,60.66,Adam Ottavino
12499,1.0,Drew Rucinski
12515,1.0,Taylor Hill
12520,1.0,Erik Johnson
12537,1.0,Cory Mazzoni
12545,1.0,Drew Gagnon
12555,13.75,Tony Cingrani
12562,1.0,Jack Leathersich
12572,64.14,Blake Treinen
12575,30.3333333333,Nick Ramirez
12578,1.0,D.J. Johnson
12580,17.34,Adam Morgan
12586,1.0,Mike Wright Jr.
12638,1.0,Nathan Karns
12664,48.0,Jerad Eickhoff
12673,23.06,Roenis Elias
12680,28.34,Ryne Harper
12691,1.0,Tyler Wilson
12699,1.0,Ryan Carpenter
12703,191.66,Trevor Bauer
12718,128.74,Adrian Houser
12730,1.0,Nick Martinez
12751,1.0,Tyler Pill
12760,60.86,Rafael Montero
12763,41.66,Chris Devenski
12768,165.46,Sonny Gray
12774,43.34,Jairo Diaz
12777,21.6,John Brebbia
12778,17.4,Sam Gaviglio
12781,28.85,Sean Gilmartin
12784,44.8,Burch Smith
12790,1.0,Raul Alcantara
12799,23.15,Cody Anderson
12800,60.06,Noe Ramirez
12803,1.0,Carter Capps
12804,69.0,Matt Wisler
12808,69.0,Mike Clevinger
12828,28.34,Andrew Kittredge
12831,1.0,Matt Purke
12833,1.0,Alex Meyer
12854,1.0,Elvis Araujo
12857,52.8,Shawn Armstrong
12863,63.34,Matt Barnes
12874,7.15,Danny Hultzen
12876,9.85,Tony Zych
12880,88.46,Tyler Anderson
12890,53.54,Alex Claudio
12905,1.0,Logan Verrett
12910,23.15,Ken Giles
12917,170.4,Dylan Bundy
12918,67.0,Archie Bradley
12938,1.0,Gabriel Ynoa
12963,1.0,Roberto Gomez
12970,162.0,Joe Musgrove
12972,112.6,Joe Ross
12975,25.85,Mauricio Cabrera
12982,1.0,Andrew Faulkner
12988,52.74,Andrew Chafin
12997,36.74,Colten Brewer
13042,1.0,Robby Scott
13046,1.0,Tsuyoshi Wada
13048,1.0,Hisashi Iwakuma
13050,150.54,Anthony DeSclafani
13058,24.85,Reymin Guduan
13071,39.0,Wei-Yin Chen
13074,177.4,Yu Darvish
13119,46.3,Taylor Jungmann
13125,197.86,Gerrit Cole
13133,24.4,Derek Law
13144,1.0,Frank Garces
13150,1.0,Jayson Aquino
