#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,Year
432.0,Adam Duvall,ATL,86.0,287.0,315.0,61.0,32.0,16.0,1.0,12.0,39.0,36.0,21.0,0.0,101.0,5.0,2.0,0.0,2.0,0.0,2.0,0.213,2022
433.0,Rene Pinto,TBR,25.0,80.0,83.0,17.0,12.0,3.0,0.0,2.0,5.0,10.0,2.0,0.0,35.0,1.0,0.0,0.0,3.0,0.0,0.0,0.213,2022
434.0,Austin Barnes,LAD,62.0,179.0,212.0,38.0,24.0,6.0,0.0,8.0,31.0,26.0,27.0,0.0,37.0,3.0,1.0,2.0,5.0,2.0,1.0,0.212,2022
435.0,Ezequiel Tovar,COL,9.0,33.0,35.0,7.0,5.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.212,2022
436.0,Eddie Rosario,ATL,80.0,250.0,270.0,53.0,35.0,12.0,1.0,5.0,27.0,24.0,17.0,0.0,68.0,0.0,3.0,0.0,3.0,3.0,0.0,0.212,2022
437.0,Brad Miller,TEX,81.0,222.0,241.0,47.0,37.0,3.0,0.0,7.0,20.0,32.0,18.0,0.0,70.0,0.0,1.0,0.0,3.0,4.0,2.0,0.212,2022
438.0,Yoan Moncada,CHW,104.0,397.0,433.0,84.0,53.0,18.0,1.0,12.0,41.0,51.0,32.0,2.0,114.0,2.0,1.0,1.0,5.0,2.0,0.0,0.212,2022
439.0,Carson Kelly,ARI,104.0,317.0,354.0,67.0,42.0,18.0,0.0,7.0,40.0,35.0,29.0,0.0,71.0,4.0,4.0,0.0,10.0,2.0,0.0,0.211,2022
440.0,Giancarlo Stanton,NYY,110.0,398.0,452.0,84.0,46.0,7.0,0.0,31.0,53.0,78.0,50.0,2.0,137.0,0.0,3.0,0.0,8.0,0.0,0.0,0.211,2022
441.0,Garrett Hampson,COL,90.0,199.0,226.0,42.0,30.0,7.0,3.0,2.0,29.0,15.0,21.0,0.0,63.0,1.0,2.0,3.0,3.0,12.0,2.0,0.211,2022
442.0,Colin Moran,CIN,42.0,109.0,128.0,23.0,15.0,3.0,0.0,5.0,11.0,23.0,16.0,0.0,30.0,0.0,3.0,0.0,4.0,0.0,0.0,0.211,2022
443.0,Ramon Laureano,OAK,94.0,346.0,383.0,73.0,42.0,18.0,0.0,13.0,49.0,34.0,25.0,0.0,104.0,12.0,0.0,0.0,6.0,11.0,6.0,0.211,2022
444.0,Kyle Isbel,KCR,106.0,256.0,278.0,54.0,35.0,10.0,4.0,5.0,32.0,28.0,16.0,0.0,75.0,3.0,2.0,1.0,5.0,9.0,6.0,0.211,2022
445.0,Cal Raleigh,SEA,119.0,370.0,415.0,78.0,30.0,20.0,1.0,27.0,46.0,63.0,38.0,0.0,122.0,2.0,5.0,0.0,5.0,1.0,0.0,0.211,2022
446.0,Yairo Munoz,PHI,29.0,57.0,60.0,12.0,7.0,2.0,0.0,3.0,7.0,7.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.211,2022
447.0,Spencer Steer,CIN,28.0,95.0,108.0,20.0,13.0,5.0,0.0,2.0,12.0,8.0,11.0,0.0,26.0,2.0,0.0,0.0,2.0,0.0,1.0,0.211,2022
448.0,Cody Bellinger,LAD,144.0,504.0,550.0,106.0,57.0,27.0,3.0,19.0,70.0,68.0,38.0,0.0,150.0,2.0,6.0,0.0,7.0,14.0,3.0,0.21,2022
449.0,Didi Gregorius,PHI,63.0,214.0,232.0,45.0,31.0,9.0,4.0,1.0,17.0,19.0,13.0,0.0,36.0,3.0,2.0,0.0,0.0,1.0,0.0,0.21,2022
450.0,Leury Garcia,CHW,97.0,300.0,315.0,63.0,52.0,8.0,0.0,3.0,38.0,20.0,7.0,0.0,65.0,3.0,3.0,2.0,6.0,2.0,0.0,0.21,2022
451.0,Robbie Grossman,- - -,129.0,411.0,477.0,86.0,59.0,19.0,1.0,7.0,40.0,45.0,56.0,0.0,129.0,6.0,4.0,0.0,3.0,6.0,2.0,0.209,2022
452.0,J.J. Matijevic,HOU,32.0,67.0,71.0,14.0,10.0,2.0,0.0,2.0,7.0,5.0,2.0,0.0,25.0,2.0,0.0,0.0,1.0,1.0,0.0,0.209,2022
453.0,Yu Chang,- - -,69.0,168.0,190.0,35.0,25.0,6.0,0.0,4.0,19.0,15.0,16.0,0.0,59.0,4.0,2.0,0.0,5.0,0.0,1.0,0.208,2022
454.0,Jonathan Villar,- - -,59.0,202.0,220.0,42.0,31.0,6.0,2.0,3.0,25.0,18.0,15.0,0.0,59.0,0.0,2.0,1.0,4.0,7.0,0.0,0.208,2022
455.0,Ryan Jeffers,MIN,67.0,212.0,236.0,44.0,26.0,10.0,1.0,7.0,25.0,27.0,23.0,0.0,62.0,0.0,0.0,1.0,6.0,0.0,0.0,0.208,2022
456.0,Mitch Garver,TEX,54.0,188.0,215.0,39.0,22.0,7.0,0.0,10.0,23.0,24.0,23.0,0.0,53.0,2.0,2.0,0.0,3.0,1.0,1.0,0.207,2022
457.0,Jorge Soler,MIA,72.0,270.0,306.0,56.0,30.0,13.0,0.0,13.0,32.0,34.0,31.0,1.0,90.0,3.0,1.0,0.0,9.0,0.0,2.0,0.207,2022
458.0,LaMonte Wade Jr.,SFG,77.0,217.0,251.0,45.0,29.0,7.0,1.0,8.0,29.0,26.0,26.0,0.0,51.0,5.0,1.0,2.0,0.0,1.0,0.0,0.207,2022
459.0,Nick Allen,OAK,100.0,299.0,326.0,62.0,45.0,13.0,0.0,4.0,31.0,19.0,19.0,0.0,64.0,1.0,1.0,6.0,5.0,3.0,2.0,0.207,2022
460.0,Nick Solak,TEX,35.0,82.0,95.0,17.0,13.0,1.0,0.0,3.0,14.0,4.0,7.0,0.0,19.0,5.0,0.0,1.0,1.0,3.0,2.0,0.207,2022
461.0,Dermis Garcia,OAK,39.0,116.0,125.0,24.0,13.0,6.0,0.0,5.0,13.0,20.0,8.0,0.0,55.0,1.0,0.0,0.0,1.0,0.0,0.0,0.207,2022
462.0,Patrick Wisdom,CHC,134.0,469.0,534.0,97.0,44.0,28.0,0.0,25.0,67.0,66.0,53.0,1.0,183.0,9.0,2.0,1.0,8.0,8.0,4.0,0.207,2022
463.0,Oscar Mercado,- - -,55.0,121.0,128.0,25.0,14.0,6.0,1.0,4.0,17.0,16.0,5.0,0.0,29.0,1.0,1.0,0.0,4.0,2.0,2.0,0.207,2022
464.0,Rougned Odor,BAL,135.0,426.0,472.0,88.0,53.0,19.0,3.0,13.0,49.0,53.0,32.0,1.0,109.0,10.0,4.0,0.0,9.0,6.0,1.0,0.207,2022
465.0,Peyton Burdick,MIA,32.0,92.0,102.0,19.0,11.0,4.0,0.0,4.0,8.0,11.0,8.0,0.0,35.0,2.0,0.0,0.0,1.0,1.0,0.0,0.207,2022
466.0,Tucupita Marcano,PIT,49.0,160.0,177.0,33.0,23.0,6.0,2.0,2.0,18.0,13.0,10.0,0.0,44.0,1.0,1.0,5.0,1.0,2.0,1.0,0.206,2022
467.0,Omar Narvaez,MIL,84.0,262.0,296.0,54.0,37.0,12.0,1.0,4.0,21.0,23.0,29.0,1.0,57.0,3.0,1.0,1.0,4.0,0.0,0.0,0.206,2022
468.0,Mike Ford,- - -,50.0,131.0,149.0,27.0,19.0,5.0,0.0,3.0,9.0,10.0,17.0,0.0,40.0,1.0,0.0,0.0,1.0,0.0,0.0,0.206,2022
469.0,Diego Castillo,PIT,96.0,262.0,283.0,54.0,30.0,13.0,0.0,11.0,28.0,29.0,14.0,1.0,75.0,3.0,4.0,0.0,7.0,1.0,1.0,0.206,2022
470.0,Isaac Paredes,TBR,111.0,331.0,381.0,68.0,32.0,16.0,0.0,20.0,48.0,45.0,44.0,0.0,67.0,4.0,2.0,0.0,12.0,0.0,1.0,0.205,2022
471.0,Nelson Velazquez,CHC,77.0,185.0,206.0,38.0,22.0,7.0,3.0,6.0,20.0,26.0,19.0,0.0,65.0,2.0,0.0,0.0,5.0,5.0,2.0,0.205,2022
472.0,Gary Sanchez,MIN,128.0,419.0,471.0,86.0,46.0,24.0,0.0,16.0,42.0,61.0,40.0,0.0,136.0,7.0,5.0,0.0,12.0,2.0,0.0,0.205,2022
